TARGET_ID,COHORT,TOT_SER,MSG,CAL,RESP,LYLTY_TAG,COMP,FAULTS,SRVC_TNRE,LABEL
21,3,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
30,2,SINGLE,SINGLE_M,SINGLE_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,YES
46,1,MULTI,MULTI_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
78,1,MULTI,NO_M,NO_C,N,GOLD,NO,NO_F,36+ MONTHS,YES
197,2,SINGLE,NO_M,NO_C,N,UNKNOWN,NO,NO_F,30 MONTHS,YES
70,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36 MONTHS,NO
83,3,MULTI,NO_M,MULTI_C,N,UNKNOWN,NO,SINGLE_F,36+ MONTHS,NO
66,1,MULTI,NO_M,MULTI_C,N,SILVER,NO,SINGLE_F,36+ MONTHS,YES
107,2,SINGLE,NO_M,NO_C,N,SILVER,NO,NO_F,36+ MONTHS,YES
70,3,MULTI,NO_M,NO_C,N,UNKNOWN,NO,NO_F,36+ MONTHS,NO
66,1,MULTI,NO_M,MULTI_C,N,SILVER,NO,MULTI_F,36+ MONTHS,YES
